Entry	Entry Name	Protein names	Gene Names	Taxonomic lineage	Organism	Organism (ID)	Gene Names (synonym)	Gene Names (primary)
P09192	PSBD_SYNY3	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD sll0849	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708		psbD
P09193	PSBC_SYNY3	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC sll0851	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708		psbC
P09438	RCEM_CHLAA	Reaction center protein M chain (Photosynthetic reaction center M subunit)	pufM Caur_1051	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Chloroflexota (phylum), Chloroflexia (class), Chloroflexales (order), Chloroflexineae (suborder), Chloroflexaceae (family), Chloroflexus (genus), Chloroflexus aurantiacus (species)	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	324602		pufM
P0A407	PSAB_THEVB	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB tlr0732	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Acaryochloridales (order), Thermosynechococcaceae (family), Thermosynechococcus (genus), Thermosynechococcus vestitus (species)	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	197221		psaB
P0A444	PSBA1_THEVB	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	psbA1 psbA-1 tlr1843	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Acaryochloridales (order), Thermosynechococcaceae (family), Thermosynechococcus (genus), Thermosynechococcus vestitus (species)	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	197221	psbA-1	psbA1
P0A446	PSBA2_THEVB	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 tlr1844	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Acaryochloridales (order), Thermosynechococcaceae (family), Thermosynechococcus (genus), Thermosynechococcus vestitus (species)	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	197221	psbA-2	psbA2
P0CJ48	CB1A_ARATH	Chlorophyll a-b binding protein 2, chloroplastic (Chlorophyll a-b protein 165) (CAB-165) (LHCII type I CAB-2)	LHCB1.1 AB165 CAB2 LHCP-B At1g29920 F1N18.4	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702	AB165 CAB2 LHCP-B	LHCB1.1
P0DO18	LHR32_CHLRE	Light-harvesting complex stress-related protein 3.2, chloroplastic (Chlorophyll a-b binding protein LHCSR3.2)	LHCSR3.2 LHCSR2 LHCSR3 CHLRE_08g367400v5 CHLREDRAFT_184730	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Chlamydomonadaceae (family), Chlamydomonas (genus)	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	LHCSR2 LHCSR3	LHCSR3.2
P0DO19	LHR31_CHLRE	Light-harvesting complex stress-related protein 3.1, chloroplastic (Chlorophyll a-b binding protein LHCSR3.1)	LHCSR3.1 LHCSR2 LHCSR3 CHLRE_08g367500v5 CHLREDRAFT_184731	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Chlamydomonadaceae (family), Chlamydomonas (genus)	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	LHCSR2 LHCSR3	LHCSR3.1
P12154	PSAA_CHLRE	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA ps1a1	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Chlamydomonadaceae (family), Chlamydomonas (genus)	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	ps1a1	psaA
P12333	CB2A_SPIOL	Chlorophyll a-b binding protein, chloroplastic (LHCII type I CAB) (LHCP)		cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), Caryophyllales (order), Chenopodiaceae (family), Chenopodioideae (subfamily), Anserineae (tribe), Spinacia (genus)	Spinacia oleracea (Spinach)	3562		
P14660	PSBA_SYNY4	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA psbA-I	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank)	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	1147	psbA-I	psbA
P14712	PHYA_ARATH	Phytochrome A (Protein ELONGATED HYPOCOTYL 8) (Protein FAR RED ELONGATED 1) (Protein FAR RED ELONGATED HYPOCOTYL 2)	PHYA FHY2 FRE1 HY8 At1g09570 F14J9.23	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702	FHY2 FRE1 HY8	PHYA
P14713	PHYB_ARATH	Phytochrome B (Protein LONG HYPOCOTYL 3) (Protein OUT OF PHASE 1)	PHYB HY3 OOP1 At2g18790 MSF3.17	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702	HY3 OOP1	PHYB
P15409	OPSD_MOUSE	Rhodopsin	Rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Mus (genus), Mus (subgenus)	Mus musculus (Mouse)	10090		Rho
P16033	PSBA2_SYNY3	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708	psbA-2; psbA-3	psbA2; psbA3
P22328	OPSD_CHICK	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		RHO
P22329	OPSR_CHICK	Red-sensitive opsin (Iodopsin) (Red cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		
P25848	PHY1_CERPU	Light-sensor Protein kinase [Includes: Phytochrome; Protein kinase (EC 2.7.11.1)]	PHY1 PHY	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Bryophyta (clade), Bryophytina (clade), Bryopsida (class), Dicranidae (subclass), Pseudoditrichales (order), Ditrichaceae (family), Ceratodon (genus)	Ceratodon purpureus (Fire moss) (Dicranum purpureum)	3225	PHY	PHY1
P27490	CB28_PEA	Chlorophyll a-b binding protein 8, chloroplastic (LHCII type I CAB-8)	CAB8 LHCB1	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Fabeae (tribe), Pisum (genus)	Pisum sativum (Garden pea) (Lathyrus oleraceus)	3888	LHCB1	CAB8
P27521	CA4_ARATH	Chlorophyll a-b binding protein 4, chloroplastic (LHCI type III CAB-4)	LHCA4 CAB4 At3g47470 F1P2.20	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702	CAB4	LHCA4
P29255	PSAB_SYNY3	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB slr1835	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708		psaB
P31356	OPSD_TODPA	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Cephalopoda (class), Coleoidea (subclass), Decapodiformes (superorder), Oegopsida (order), Ommastrephidae (family), Todarodes (genus)	Todarodes pacificus (Japanese flying squid) (Ommastrephes pacificus)	6637		RHO
P32308	OPSD_CANLF	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Carnivora (order), Caniformia (suborder), Canidae (family), Canis (genus), Canis lupus (species)	Canis lupus familiaris (Dog) (Canis familiaris)	9615		RHO
P35359	OPSD_DANRE	Rhodopsin	rho zfo2	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Danionidae (family), Danioninae (subfamily), Danio (genus)	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	zfo2	rho
P42212	GFP_AEQVI	Green fluorescent protein	GFP	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Cnidaria (phylum), Hydrozoa (class), Hydroidolina (subclass), Leptothecata (order), Aequoreidae (family), Aequorea (genus)	Aequorea victoria (Water jellyfish) (Mesonema victoria)	6100		GFP
P47804	RGR_HUMAN	RPE-retinal G protein-coupled receptor	RGR	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Homo sapiens (Human)	9606		RGR
P48183	PSBA_MAIZE	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (32 kDa thylakoid membrane protein) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Tripsacinae (subtribe), Zea (genus)	Zea mays (Maize)	4577		psbA
P49912	OPSD_RABIT	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Lagomorpha (order), Leporidae (family), Oryctolagus (genus)	Oryctolagus cuniculus (Rabbit)	9986		RHO
P51475	OPSP_CHICK	Pinopsin (Pineal gland-specific opsin) (P-opsin) (Pineal opsin)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Gallus gallus (Chicken)	9031		
P51489	OPSD_RAT	Rhodopsin	Rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)	Rattus norvegicus (Rat)	10116		Rho
